Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"SCHEDULING ORDER: Initial Conference set for 10/13/2016 at 10:00 a.m., in Courtroom 2E North before Magistrate Judge Ramon E. Reyes Jr., located in the United States Eastern District of New York Courthouse, 225 Cadman Plaza East, Brooklyn, New York 11201. All counsel are required to attend, and plaintiff's counsel is directed to ensure that all counsel are aware of their obligation to appear. Any requests for adjournment must be made in writing on notice to opposing parties, and must disclose whether all parties consent. No request for adjournment will be considered unless made at least forty-eight (48) hours before the scheduled conference. Prior to the conference, the parties are to comply with the requirements of Rule 26(f) of the Fed. R. Civ. P. The attached Case Management Statement must be completed and filed on ECF no later than 10/10/2016. Ordered by Magistrate Judge Ramon E. Reyes, Jr on 9/19/2016. (Vertus, Miriam) (Entered: 09/19/2016)",schedule order initial conference courtroom north locate united eastern new york courthouse cadman plaza east brooklyn new york attend ensure aware obligation appear request adjournment notice oppose disclose consent request adjournment consider unless least fortyeight hour schedule conference prior conference comply requirement rule r p management complete order jr,,"Notices, Others, Motions",
"Proposed Scheduling Order by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 10/10/2016)",propose schedule order,propose schedule order,,propose schedule order
"First Motion to Appear by Telephone by Vapor Group, Inc.. (Moskowitz, Nicole) (Entered: 10/11/2016)",motion appear telephone inc,,Motions,
"ORDER granting 11 Motion for Nicole Moskowitz to Appear by Telephone. Ordered by Magistrate Judge Ramon E. Reyes, Jr on 10/11/2016. (Vertus, Miriam) (Entered: 10/11/2016)",order grant motion appear telephone order jr,,Motions,
"Minute Entry for proceedings held before Magistrate Judge Ramon E. Reyes, Jr:Initial Conference Hearing held on 10/13/2016. Case called. Appearances stated on the record. Discussions held. Case referred to mediation. Mediation shall be completed by 12/16/2016. Selection of Mediator due by 10/31/2016. (Tape #10:10:12-10:20:09.) (Vertus, Miriam) (Entered: 10/13/2016)",minute entry hold jr initial conference hear hold call appearance discussion hold mediation mediation complete selection mediator due,,Motions,
"MEDIATION INSTRUCTIONS for Counsel are available at: https://www.nyed.uscourts.gov/adr-forms. Counsel are to select a mediator, schedule the first mediation session, and file the name of the mediator, date, time and place of the first mediation session via CM/ECF using the event Selection of Mediator. For a list of the EDNY Mediators and their qualifications, see the Court's website at https://www.nyed.uscourts.gov/adr/Mediation/displayAll.cfm. EDNY Mediators are compensated in accordance with EDNY Local Civil Rule 83.8(f)(1)[formerly EDNY Local Civil Rule 83.11(f)(1)]. The Confidentiality Stipulation must be signed at the mediation session by all participants, including the mediator, and sent via email to Robyn_Weinstein@nyed.uscourts.gov. The Confidentiality Stipulation is available at: https://www.nyed.uscourts.gov/adr-forms. Upon completion of the mediation, both parties must submit a Mediation Report which can be found at: https://www.nyed.uscourts.gov/adr-forms. The Mediation Report must be e-mailed to Robyn Weinstein at Robyn_Weinstein@nyed.uscourts.gov within two weeks following mediation session. (Weinstein, Robyn) (Entered: 10/13/2016)",mediation instruction available http www nyed uscourts gov adrforms select mediator schedule mediation session name mediator place mediation session via cm ecf use event selection mediator list edny mediator qualification website http www nyed uscourts gov adr mediation displayall cfm edny mediator compensate accordance edny local civil rule confidentiality stipulation mediation session participant mediator send via email robyn weinstein nyed uscourts gov confidentiality stipulation available http www nyed uscourts gov adrforms upon completion mediation mediation report find https www nyed uscourts gov adrforms mediation report email robyn weinstein nyed uscourts gov within week mediation session,,Others,
"Letter re: Selection of Mediator by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 10/31/2016)",letter selection mediator,letter selection mediator,,letter selection mediator
"Letter re: Extension in Time to Complete Mediation by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 12/09/2016)",letter extension complete mediation,,Motions,
"Order granting re 13 Motion for Extension of Time to Complete Mediation by 1/6/2017. Ordered by Magistrate Judge Ramon E. Reyes, Jr on 12/13/2016. (Vertus, Miriam) (Entered: 12/13/2016)",order grant motion extension complete mediation order jr,,Motions,
"REPORT of Mediation unsettled. Both parties must submit a Mediation Report which can be found at: https://www.nyed.uscourts.gov/adr-forms. The Mediation Report must be e-mailed to Robyn Weinstein at Robyn_Weinstein@nyed.uscourts.gov within two weeks following mediation session.Mediation Report Questionnaires due by 1/19/2017. (Weinstein, Robyn) (Entered: 01/05/2017)",report mediation unsettled mediation report find https www nyed uscourts gov adrforms mediation report email robyn weinstein nyed uscourts gov within week mediation session mediation report questionnaire due,report mediation unsettled mediation report find https www nyed uscourts gov adrforms mediation report email robyn weinstein nyed uscourts gov within week mediation session mediation report questionnaire due,,report mediation unsettled mediation_report find https www nyed_uscourts_gov adrforms mediation_report email robyn weinstein nyed_uscourts_gov within week mediation session mediation_report questionnaire due
"SCHEDULING ORDER: Telephone Conference set for 1/13/2017 at 11:30 AM before Magistrate Judge Ramon E. Reyes Jr. Plaintiff's counsel is respectfully requested to initiate the call then dial in Chambers at 718-613-2120 once all the parties are on the line. Ordered by Magistrate Judge Ramon E. Reyes, Jr on 1/5/2017. (Vertus, Miriam) (Entered: 01/06/2017)",schedule order telephone conference respectfully request initiate call dial line order jr,,"Others, Motions",
"Minute Entry for proceedings held before Magistrate Judge Ramon E. Reyes, Jr.: Telephone Conference held on 1/13/2017. Appearances: Kevin Kehrli, Esq., for Plaintiff; Nicole Moskowitz, Esq., for Defendant. Discussions held. Parties are to exchange discovery requests by 1/27/2017. Responses are due by 2/27/2017. A Telephone Conference is set for 3/9/2017 at 10:00 AM before Magistrate Judge Ramon E. Reyes Jr. Plaintiff's counsel is respectfully requested to initiate the call then dial Chambers once all parties are on the line. (Tape #11:34:59-11:44:25 (208N).) (Naidich, Zachary) (Entered: 01/13/2017)",minute entry hold jr telephone conference hold appearance discussion hold exchange discovery request response due telephone conference respectfully request initiate call dial line,,"Others, Other Answers, Answers to Complaints, Motions",
"Minute Entry for proceedings held before Magistrate Judge Ramon E. Reyes, Jr.: Telephone Conference held on 3/9/2017. Appearances: Kevin Kehrli, Esq., for Plaintiff; Nicole Moskowitz, Esq., for Defendant. Discussions held. Discovery is closed. Plaintiff's Pre-Motion Letter to Judge Gershon is due by 3/17/2017. Defendant's Response is due by 3/24/2017. (Tape #No Tape.) (Naidich, Zachary) (Entered: 03/09/2017)",minute entry hold jr telephone conference hold appearance discussion hold discovery premotion letter due response due,,"Other Answers, Answers to Complaints, Motions",
"MOTION for pre motion conference related to Plaintiff's contemplated motion for Summary Judgment by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Note 1, # 2 Exhibit B - Note 2) (Kehrli, Kevin) (Entered: 03/17/2017)",motion motion conference contemplate motion summary judgment,,Motions,
"RESPONSE to Motion re 14 MOTION for pre motion conference related to Plaintiff's contemplated motion for Summary Judgment filed by Vapor Group, Inc.. (Moskowitz, Nicole) (Entered: 03/24/2017)",response motion motion motion conference contemplate motion summary judgment inc,,"Other Answers, Answers to Complaints, Motions",
"ORDER granting 14 Motion for Pre Motion Conference. Conference is scheduled for May 15, 2017 @ 10:30 a.m. in courtroom 6D South. Ordered by Judge Nina Gershon on 4/12/2017. (Joe, Victor) (Entered: 04/12/2017)",order grant motion motion conference conference schedule courtroom south order,,Motions,
"MOTION to Adjourn Conference by Vapor Group, Inc.. (Moskowitz, Nicole) (Entered: 05/11/2017)",motion adjourn conference inc,,Motions,
"ORDER granting 16 Motion to Adjourn Conference. Conference set for June 21, 2017 at 10:30 a.m. in courtroom 6D South. Ordered by Judge Nina Gershon on 5/11/2017. (Shalev, Roee) (Entered: 05/11/2017)",order grant motion adjourn conference conference courtroom south order,,Motions,
"NOTICE of Appearance by Chris Han on behalf of LG Capital Funding, LLC (aty to be noticed) (Han, Chris) (Entered: 05/15/2017)",notice appearance,,Notices,
"Minute Entry for proceedings held before Judge Nina Gershon: Case called. Kevin Kehrli, Esq. for the LG Capital. William B. Stock, Esq. of counsel for Vapor Group. Pre Motion Conference held on 6/21/2017 (Court Reporter Sophie Nolan.) (Joe, Victor) (Entered: 06/22/2017)",minute entry hold call stock motion conference hold,,Motions,
"ORDER: As discussed at the pretrial conference on June 21,2017, the parties will attempt to resolve the legal and factual issues raised by the proposed motion for summary judgment. The parties are directed to file a joint status report by July 21,2017 setting forth that they have resolved the entire case or, in the alternative, the issues they have resolved. Among the issues the parties should discuss and advise the court regarding are the amount of principal and interest each party believes that defendant owes plaintiff on each loan. SO Ordered by Judge Nina Gershon on 6/22/2017. (Ramesar, Thameera) (Entered: 06/23/2017)",order discuss pretrial conference attempt resolve legal factual raise propose motion summary judgment joint status report resolve entire alternative resolve among discuss advise principal interest believe owes order,,"Others, Motions",
