Original Docket Text,Organization Portion,Name Portion,Identifying Org and Name,Stripped Org and Name,Removed unnecessary POS & vocab_x,DT Topics,Removed unnecessary POS & vocab DT_x,Apply Trigram Phrase Model_x,Removed unnecessary POS & vocab_y,Removed unnecessary POS & vocab DT_y,Apply Trigram Phrase Model_y,New Topocs,Action [Y/N],If Y
"BRIEF re: 60 Letter, Proposed Master Discovery Protocol. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A - March 11, 2014 SDNY Hearing Transcript Excerpt, # 2 Exhibit B - March 3, 2014 Ltr with Attachments, # 3 Exhibit C - Coordination Discussion, # 4 Exhibit D - Email from S. Wilcox to A. Shen on Mar 25, 2014 at 2:38pm, # 5 Exhibit E - Email from S. Wilcox to A. Shen on Mar 27 at 4:15pm, # 6 Exhibit F - 5/15/2012 75 Order (FHFA v UBS 11-5201), # 7 Exhibit G - 2/25/2013 452 Am Order re Depo Protocol (FHFA), # 8 Exhibit H - 6/13/2012 FHFA Transcript Excerpt, # 9 Exhibit I - 11/1/2012 91 Order (FHFA v RBS 11-1383), # 10 Exhibit J - 11/15/2012 FHFA Transcript Excerpt (FHFA v UBS 11-5201), # 11 Exhibit K - 11/26/2012 Expert Scheduling Order, # 12 Exhibit L - 2/13/2013 Revised ESO, # 13 Exhibit M - 2/27/2013 Supplemental ESO, # 14 Exhibit N - 7/31/2012 FHFA Transcript of Conf Excerpt)(Frederick, David) (Entered: 03/29/2014)",National Credit Union Administration Board Exhibit D FHFA UBS FHFA RBS FHFA UBS Supplemental ESO,S. Wilcox A. Shen S. Wilcox A. Shen Frederick David,"BRIEF re : 60 Letter , Proposed Master Discovery Protocol . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A - March 11 , 2014 SDNY Hearing Transcript Excerpt , # 2 Exhibit B - March 3 , 2014 Ltr with Attachments , # 3 Exhibit C - Coordination Discussion , # 4 -ORG- -ORG- - Email from -NAME- -NAME- to -NAME- -NAME- on Mar 25 , 2014 at 2:38pm , # 5 Exhibit E - Email from -NAME- -NAME- to -NAME- -NAME- on Mar 27 at 4:15pm , # 6 Exhibit F - 5/15/2012 75 Order ( -ORG- v -ORG- 11-5201 ) , # 7 Exhibit G - 2/25/2013 452 Am Order re Depo Protocol ( FHFA ) , # 8 Exhibit H - 6/13/2012 FHFA Transcript Excerpt , # 9 Exhibit I - 11/1/2012 91 Order ( -ORG- v -ORG- 11-1383 ) , # 10 Exhibit J - 11/15/2012 FHFA Transcript Excerpt ( -ORG- v -ORG- 11-5201 ) , # 11 Exhibit K - 11/26/2012 Expert Scheduling Order , # 12 Exhibit L - 2/13/2013 Revised ESO , # 13 Exhibit M - 2/27/2013 -ORG- -ORG- , # 14 Exhibit N - 7/31/2012 FHFA Transcript of Conf Excerpt ) ( -NAME- , -NAME- ) ( Entered : 03/29/2014 )","BRIEF re : 60 Letter , Proposed Master Discovery Protocol . Document filed by . ( Attachments : # 1 Exhibit A - March 11 , 2014 SDNY Hearing Transcript Excerpt , # 2 Exhibit B - March 3 , 2014 Ltr with Attachments , # 3 Exhibit C - Coordination Discussion , # 4 - Email from to on Mar 25 , 2014 at 2:38pm , # 5 Exhibit E - Email from to on Mar 27 at 4:15pm , # 6 Exhibit F - 5/15/2012 75 Order ( v 11-5201 ) , # 7 Exhibit G - 2/25/2013 452 Am Order re Depo Protocol ( FHFA ) , # 8 Exhibit H - 6/13/2012 FHFA Transcript Excerpt , # 9 Exhibit I - 11/1/2012 91 Order ( v 11-1383 ) , # 10 Exhibit J - 11/15/2012 FHFA Transcript Excerpt ( v 11-5201 ) , # 11 Exhibit K - 11/26/2012 Expert Scheduling Order , # 12 Exhibit L - 2/13/2013 Revised ESO , # 13 Exhibit M - 2/27/2013 , # 14 Exhibit N - 7/31/2012 FHFA Transcript of Conf Excerpt ) ( , ) ( Entered : 03/29/2014 )",brief letter propose discovery g order depo h fhfa excerpt order j fhfa excerpt k schedule order l revise eso n fhfa conf excerpt,,brief letter propose discovery g order depo h fhfa excerpt order j fhfa excerpt k schedule order l revise eso n fhfa conf excerpt,brief letter propose discovery g order depo h fhfa excerpt order j fhfa excerpt k schedule order l revise eso n fhfa conf excerpt,"['brief letter propose discovery protocol .', 'document file .', 'g order depo protocol h fhfa excerpt order j fhfa excerpt k schedule order l revise eso n fhfa conf excerpt']","['brief letter propose discovery protocol .', 'document file .', 'g order depo protocol h fhfa excerpt order j fhfa excerpt k schedule order l revise eso n fhfa conf excerpt']","['brief letter propose discovery protocol .', 'document file .', 'g order depo protocol h fhfa excerpt order j fhfa excerpt k schedule order l revise eso n fhfa conf excerpt']",Brief,Y,Triage
"ENDORSED LETTER addressed to Judge Denise L. Cote from Letter on behalf of the National Credit Union Administration Board (""NCUA"") dated 3/28/2014. NCUA respectfully proposes that by no later than April 18, 204, the parties will submit to the Court a report stating that they have reached an agreement as to search protocols in all New York, Kansas, and California actions, or, if necessary, setting forth any areas of agreement and areas where the parties are at impasse. ENDORSEMENT: Granted. (Signed by Judge Denise L. Cote on 3/31/2014) (gr) (Entered: 03/31/2014)",National Credit Union Administration Board NCUA NCUA Court,Denise L. Cote Denise L. Cote,"ENDORSED LETTER addressed to Judge -NAME- -NAME- -NAME- from Letter on behalf of the -ORG- -ORG- -ORG- -ORG- -ORG- ( `` -ORG- '' ) dated 3/28/2014 . -ORG- respectfully proposes that by no later than April 18 , 204 , the parties will submit to the -ORG- a report stating that they have reached an agreement as to search protocols in all New York , Kansas , and California actions , or , if necessary , setting forth any areas of agreement and areas where the parties are at impasse . ENDORSEMENT : Granted . ( Signed by Judge -NAME- -NAME- -NAME- on 3/31/2014 ) ( gr ) ( Entered : 03/31/2014 )","ENDORSED LETTER addressed to Judge from Letter on behalf of the ( `` '' ) dated 3/28/2014 . respectfully proposes that by no later than April 18 , 204 , the parties will submit to the a report stating that they have reached an agreement as to search protocols in all New York , Kansas , and California actions , or , if necessary , setting forth any areas of agreement and areas where the parties are at impasse . ENDORSEMENT : Granted . ( Signed by Judge on 3/31/2014 ) ( gr ) ( Entered : 03/31/2014 )",endorsed letter address letter respectfully propose report reach search protocols new york kansa california necessary area area impasse endorsement grant,,endorsed letter address letter respectfully propose report reach search protocols new york kansa california necessary area area impasse endorsement grant,endorsed_letter_address letter respectfully propose report reach search protocols kansa california necessary area area impasse endorsement grant,"['endorsed letter address letter .', 'respectfully propose report state reach search protocols new york kansa california necessary area area impasse .', 'endorsement grant .']","['endorsed letter address letter .', 'respectfully propose report state reach search protocols new york kansa california necessary area area impasse .', 'endorsement grant .']","['endorsed_letter_address letter .', 'respectfully propose report state reach search protocols kansa california necessary area area impasse .', 'endorsement grant .']",Letter to Court,Y,Triage
"SUPPLEMENTAL BRIEF Regarding the Master Discovery Protocol. Document filed by National Credit Union Administration Board. (Attachments: # 1 Exhibit A, # 2 Exhibit B, # 3 Exhibit C)(Frederick, David) (Entered: 04/04/2014)",National Credit Union Administration Board,Frederick David,"SUPPLEMENTAL BRIEF Regarding the Master Discovery Protocol . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Exhibit A , # 2 Exhibit B , # 3 Exhibit C ) ( -NAME- , -NAME- ) ( Entered : 04/04/2014 )","SUPPLEMENTAL BRIEF Regarding the Master Discovery Protocol . Document filed by . ( Attachments : # 1 Exhibit A , # 2 Exhibit B , # 3 Exhibit C ) ( , ) ( Entered : 04/04/2014 )",supplemental brief discovery,,supplemental brief discovery,supplemental brief discovery,"['supplemental brief discovery protocol .', 'document file .']","['supplemental brief discovery protocol .', 'document file .']","['supplemental brief discovery protocol .', 'document file .']",Brief,Y,Triage
"LETTER addressed to Judge Denise L. Cote from David C. Frederick dated 04/04/2014 re: LFRP. Document filed by National Credit Union Administration Board. (Attachments: # 1 Text of Proposed Order)(Frederick, David) (Entered: 04/04/2014)",National Credit Union Administration Board,Denise L. Cote David C. Frederick Frederick David,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated 04/04/2014 re : LFRP . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( Attachments : # 1 Text of Proposed Order ) ( -NAME- , -NAME- ) ( Entered : 04/04/2014 )","LETTER addressed to Judge from dated 04/04/2014 re : LFRP . Document filed by . ( Attachments : # 1 Text of Proposed Order ) ( , ) ( Entered : 04/04/2014 )",letter address lfrp,,letter address lfrp,letter_address lfrp,"['letter address lfrp .', 'document file .']","['letter address lfrp .', 'document file .']","['letter_address lfrp .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from David C. Frederick dated 04/04/2014 re: LFRP. Document filed by National Credit Union Administration Board.(Frederick, David) (Entered: 04/04/2014)",National Credit Union Administration Board,Denise L. Cote David C. Frederick Frederick David,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated 04/04/2014 re : LFRP . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( -NAME- , -NAME- ) ( Entered : 04/04/2014 )","LETTER addressed to Judge from dated 04/04/2014 re : LFRP . Document filed by . ( , ) ( Entered : 04/04/2014 )",letter address lfrp,,letter address lfrp,letter_address lfrp,"['letter address lfrp .', 'document file .']","['letter address lfrp .', 'document file .']","['letter_address lfrp .', 'document file .']",Letter to Court,Y,Triage
"LETTER addressed to Judge Denise L. Cote from James P. Rouhandeh dated April 4, 2014 re: loan file re-underwriting procedures. Document filed by Credit Suisse First Boston Mortgage Securities Corp., Credit Suisse Securities (USA) LLC.(Rouhandeh, James) (Entered: 04/04/2014)",Credit Suisse First Boston Mortgage Securities Corp. Credit Suisse Securities ( USA ) LLC,Denise L. Cote James P. Rouhandeh ( Rouhandeh James,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated April 4 , 2014 re : loan file re-underwriting procedures . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- . -NAME- -NAME- , -NAME- ) ( Entered : 04/04/2014 )","LETTER addressed to Judge from dated April 4 , 2014 re : loan file re-underwriting procedures . Document filed by , . , ) ( Entered : 04/04/2014 )",letter address reunderwriting procedure,,letter address reunderwriting procedure,letter_address reunderwriting procedure,"['letter address loan file reunderwriting procedure .', 'document file .', '']","['letter address loan file reunderwriting procedure .', 'document file .', '']","['letter_address loan file reunderwriting procedure .', 'document file .', '']",Letter to Court,Y,Triage
"MOTION in Limine to Admit Expert Statistical Sampling Testimony. Document filed by National Credit Union Administration Board.(Frederick, David) (Entered: 04/04/2014)",National Credit Union Administration Board,Frederick David,"MOTION in Limine to Admit Expert Statistical Sampling Testimony . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . ( -NAME- , -NAME- ) ( Entered : 04/04/2014 )","MOTION in Limine to Admit Expert Statistical Sampling Testimony . Document filed by . ( , ) ( Entered : 04/04/2014 )",motion limine admit statistical sample testimony,,motion limine admit statistical sample testimony,motion_limine admit statistical sample testimony,"['motion limine admit statistical sampling testimony .', 'document file .']","['motion limine admit statistical sampling testimony .', 'document file .']","['motion_limine admit statistical sampling testimony .', 'document file .']",Motion,Y,Triage
"ORDER REGARDING LOAN FILE REUNDERWRITING PROTOCOL. (Signed by Judge Denise L. Cote (S.D.N.Y.), Judge George H. Wu (C.D. Cal.), Judge John W. Lungstrum (D. Kan.), Magistrate Judge James P. OHara (D. Kan.) on 4/9/2014)(gr) (Entered: 04/09/2014)",,Denise L. Cote George H. Wu John W. Lungstrum James P. OHara,"ORDER REGARDING LOAN FILE REUNDERWRITING PROTOCOL . ( Signed by Judge -NAME- -NAME- -NAME- ( S.D.N.Y . ) , Judge -NAME- -NAME- -NAME- ( C.D . Cal . ) , Judge -NAME- -NAME- -NAME- ( D. Kan. ) , Magistrate Judge -NAME- -NAME- -NAME- ( D. Kan. ) on 4/9/2014 ) ( gr ) ( Entered : 04/09/2014 )","ORDER REGARDING LOAN FILE REUNDERWRITING PROTOCOL . ( Signed by Judge ( S.D.N.Y . ) , Judge ( C.D . Cal . ) , Judge ( D. Kan. ) , Magistrate Judge ( D. Kan. ) on 4/9/2014 ) ( gr ) ( Entered : 04/09/2014 )",order reunderwriting,,order reunderwriting,order reunderwriting,"['order loan file reunderwriting protocol .', '']","['order loan file reunderwriting protocol .', '']","['order loan file reunderwriting protocol .', '']",Court's Order,Y,Triage
"ORDER REGARDING MASTER DISCOVERY PROTOCOL. (Signed by Judge Denise L. Cote (S.D.N.Y.), Judge George H. Wu (C.D. Cal.), Judge John W. Lungstrum (D. Kan.), Magistrate Judge James P. OHara (D. Kan.) on 4/9/2014)(gr) (Entered: 04/09/2014)",,Denise L. Cote George H. Wu John W. Lungstrum James P. OHara,"ORDER REGARDING MASTER DISCOVERY PROTOCOL . ( Signed by Judge -NAME- -NAME- -NAME- ( S.D.N.Y . ) , Judge -NAME- -NAME- -NAME- ( C.D . Cal . ) , Judge -NAME- -NAME- -NAME- ( D. Kan. ) , Magistrate Judge -NAME- -NAME- -NAME- ( D. Kan. ) on 4/9/2014 ) ( gr ) ( Entered : 04/09/2014 )","ORDER REGARDING MASTER DISCOVERY PROTOCOL . ( Signed by Judge ( S.D.N.Y . ) , Judge ( C.D . Cal . ) , Judge ( D. Kan. ) , Magistrate Judge ( D. Kan. ) on 4/9/2014 ) ( gr ) ( Entered : 04/09/2014 )",order discovery,,order discovery,order discovery,"['order discovery protocol .', '']","['order discovery protocol .', '']","['order discovery protocol .', '']",Court's Order,Y,Triage
"ORDER REGARDING PROTOCOL FOR THE PRODUCTION OF DATA. (Signed by Judge Denise L. Cote (S.D.N.Y.), Judge George H. Wu (C.D. Cal.), Judge John W. Lungstrum (D. Kan.), Magistrate Judge James P. OHara (D. Kan.) on 4/9/2014)(gr) (Entered: 04/09/2014)",,Denise L. Cote George H. Wu John W. Lungstrum James P. OHara,"ORDER REGARDING PROTOCOL FOR THE PRODUCTION OF DATA . ( Signed by Judge -NAME- -NAME- -NAME- ( S.D.N.Y . ) , Judge -NAME- -NAME- -NAME- ( C.D . Cal . ) , Judge -NAME- -NAME- -NAME- ( D. Kan. ) , Magistrate Judge -NAME- -NAME- -NAME- ( D. Kan. ) on 4/9/2014 ) ( gr ) ( Entered : 04/09/2014 )","ORDER REGARDING PROTOCOL FOR THE PRODUCTION OF DATA . ( Signed by Judge ( S.D.N.Y . ) , Judge ( C.D . Cal . ) , Judge ( D. Kan. ) , Magistrate Judge ( D. Kan. ) on 4/9/2014 ) ( gr ) ( Entered : 04/09/2014 )",order production data,,order production data,order production data,"['order protocol production data .', '']","['order protocol production data .', '']","['order protocol production data .', '']",Court's Order,Y,Triage
